"種別コード
(categoryName)"	"種別名（辞書管理）
(category)"	"システムコード
(systemName)"	"システム名（他言語対応項目）
(system)"
A0000001	使用	B00	不可
A0000001	使用	B01	可
A0000002	管理場所種別	B01	取引窓口
A0000002	管理場所種別	B02	組織
A0000002	管理場所種別	B03	納入先
A0000002	管理場所種別	B04	事業所
A0000003	事業所ランク	B00	支店
A0000003	事業所ランク	B01	本店
A0000004	取引先種別	B01	見積先
A0000005	数量単位	B00	単位
A0000006	工程	B00	工程
A0000007	大分類（品目）	B00	大分類（品目）
A0000008	中分類（品目）	B00	中分類（品目）
A0000009	小分類（品目）	B00	小分類（品目）
A0000010	図面種類	B01	部品図
A0000010	図面種類	B02	組立図
A0000011	図面分類	B00	図面分類
A0000012	優先事項	B00	優先事項
A0000013	発注目的	B00	発注目的
A0000014	作業分類	B00	作業分類
A0000015	作業用途	B00	作業用途
A0000016	ファイル分類	B01	図面
A0000016	ファイル分類	B02	その他
A0000016	ファイル分類	B03	システム管理
A0000017	ファイル種別	B01	伝票
A0000017	ファイル種別	B02	明細
A0000017	ファイル種別	B03	その他
A0000018	見積費目（回答）	B00	見積費目（回答）
A0000019	見積費目（社内）	B00	見積費目（社内）
A0000020	見積明細区分	B01	金額内訳
A0000020	見積明細区分	B02	分納
A0000021	管理場所取込フォーマット	B00	標準フォーマット
A0000022	取引先取込フォーマット	B00	標準フォーマット
A0000023	担当者取込フォーマット	B00	標準フォーマット
A0000024	品目取込フォーマット	B00	標準フォーマット
A0000025	図面取込フォーマット	B00	標準フォーマット
A0000026	見積依頼予定取込フォーマット	B00	SAP作業依頼伝票
A0000027	サイズ単位	B01	m
A0000027	サイズ単位	B02	cm
A0000027	サイズ単位	B03	mm
A0000027	サイズ単位	B04	μm
A0000027	サイズ単位	B05	nm
A0000029	選考結果	B00	不採用
A0000029	選考結果	B01	採用
A0000030	選考種別	B00	選考種別(不採用)
A0000030	選考種別	B01	選考種別(採用)
A0000031	選考理由	B00	選考理由(不採用)
A0000031	選考理由	B01	選考理由(採用)
A0000032	選考理由メッセージ	B00	選考理由メッセージ(不採用)
A0000032	選考理由メッセージ	B01	選考理由メッセージ(採用)
A0000033	用途	B01	図面
A0000033	用途	B02	場所
A0000033	用途	B03	添付ファイル（見積依頼）
A0000033	用途	B04	添付ファイル（見積）
A0000033	用途	B05	サプライヤベース
A0000033	用途	B06	指図案件
A0000033	用途	B07	企業情報(認証)
A0000033	用途	B08	企業情報(第三者情報)
A0000033	用途	B09	企業情報(文書)
A0000033	用途	B10	入力フォーム
A0000034	エラーファイルヘッダ情報	B00	エラー内容
A0000034	エラーファイルヘッダ情報	B01	警告内容
A0000035	図面個別情報フォーマット	B00	標準フォーマット
A0000037	文字コード	B00	Shift_JIS
A0000037	文字コード	B01	UTF_8
A0000038	公開設定	B01	公開
A0000038	公開設定	B02	非公開
A0000038	公開設定	B03	企業指定
A0000039	コミュニケーションマーカー	B01	未読
A0000039	コミュニケーションマーカー	B02	後で返信
A0000040	完了ステータス	B00	未完了
A0000040	完了ステータス	B01	完了
A0000041	国	B81	国(日本)
A0000042	地域	B81	地域(日本)

A0010001	企業ステータス	B00	取引なし
A0010001	企業ステータス	B01	準備中【申請】
